source_id,label,category,logistic_regression,random_forest,gemini_label,gemini_explanation,gemini_needs_review,openrouter_label,openrouter_explanation,openrouter_needs_review
850,2,Neither,2,2,2.0,"The tweet consists of hashtags related to art materials and subjects (#gouache, #monkey, #tiki) with no clear attack, insult, or hateful intent.",True,2.0,"The tweet contains only hashtags and a URL placeholder; there is no profanity, insult, or identity-based hate.",False
1244,1,Offensive language,2,2,1.0,"The tweet uses the insult 'trash' directed at someone regarding a video game, which is mildly abusive/insulting language without identity-based hate.",True,1.0,"The tweet contains the insult 'lies you trash', which is abusive language not tied to any protected identity.",False
17088,2,Neither,2,2,2.0,"The text contains no hate speech, profanity, or offensive language.",False,2.0,"The tweet only states agreement with a person named Charlie and contains no hateful, insulting, or identity‑based language.",False
2709,1,Offensive language,1,1,1.0,The tweet contains colloquial profanity ('son of a bitch') without targeting any protected identity group.,False,1.0,"The tweet contains the profanity 'son of a bitch', which is an abusive insult but does not target a protected identity group.",False
6005,0,Hate speech,1,1,0.0,The tweet demeans women based on gender by associating or defining them with the misogynistic slur 'hoe'.,True,0.0,"The tweet uses the slur 'hoe' to refer to women, which demeans people based on gender.",False
6078,0,Hate speech,0,1,0.0,The tweet uses the racial slur 'half breed' to demean an individual based on race or mixed racial identity.,False,0.0,"The phrase 'half breed' is a slur that attacks a person's mixed racial/ethnic identity, which qualifies as hate speech.",False
13452,2,Neither,2,2,1.0,Uses the derogatory political term 'teabaggers' to insult Tea Party members while attributing racial bias to them.,False,1.0,"The tweet uses the derogatory term #teabaggers and suggests Nelson Mandela belongs to a disfavored group ('one of them'), which is insulting language but does not target a protected identity group.",False
18879,2,Neither,2,2,2.0,"The tweet is a humorous joke about criticizing a rap group, which does not constitute hate speech or abusive offensive language.",False,1.0,"The tweet calls Migos 'trash,' which is an insult but does not target a protected identity group.",False
2050,1,Offensive language,1,1,1.0,"The tweet contains profanity ('fuck', 'shit') and vulgar slang ('hoes', 'bitches') used in the context of personal relationship drama, rather than hate speech targeting a protected identity.",False,1.0,"The tweet contains profanity and gender‑targeted slurs ('hoes', 'bitches') but does not explicitly attack or promote hatred against a protected identity; it is best interpreted as offensive language rather than identity‑based hate.",True
19564,0,Hate speech,2,2,,,,0.0,"The tweet contains the ableist slur 'retard,' which targets people with intellectual disability, constituting hate speech based on disability.",False
13313,0,Hate speech,0,0,,,,0.0,The tweet uses the racial slur 'niggas' and the homophobic slur 'faggot' to insult and demean people based on race and sexual orientation.,False
18212,1,Offensive language,1,1,,,,1.0,"The tweet uses the term 'bitch' as an insult toward a person, which is profanity/abusive language without reference to a protected identity.",False
4930,0,Hate speech,0,0,,,,0.0,"The tweet contains the slur 'faggot,' which is a derogatory term targeting sexual orientation, constituting hate speech.",False
21215,1,Offensive language,1,1,,,,1.0,"The tweet contains a racial slur and profanity but appears to be self‑referential bragging rather than an attack on a protected group, fitting offensive language.",True
7642,1,Offensive language,1,1,,,,0.0,"The tweet uses the gender‑based slur 'hoes' to denigrate women as a group, constituting hate speech based on gender.",False
17886,2,Neither,2,2,,,,2.0,"The tweet is a political comment about voter ID mockery and does not contain hate speech, profanity, or abusive language targeting any identity group.",False
21535,0,Hate speech,0,0,,,,0.0,"The tweet uses the racial slur 'niggers' to demean Black people, constituting hate speech.",False
13433,0,Hate speech,2,2,,,,2.0,"The tweet expresses frustration about a platform limitation for queer folks and contains no profanity, insults, or identity-based hate attack.",False
4739,2,Neither,2,2,,,,2.0,"The tweet references ethnicity but contains no clear hateful attack, insult, or profanity; its meaning is ambiguous.",True
4356,0,Hate speech,0,0,,,,0.0,"The tweet uses the slur 'fag' directed at an individual, which is an identity-based attack targeting sexual orientation.",False
16436,2,Neither,2,2,,,,2.0,"The tweet says 'shy girls are cute', which is a positive statement about a group and contains no insults, profanity, or identity-based hate.",False
13484,2,Neither,2,2,,,,1.0,"The tweet condemns jihadis by saying they are 'infuriated' and making murder requests, which is abusive language but does not clearly target a protected identity group with hate.",False
14847,1,Offensive language,1,1,,,,0.0,"The tweet uses the derogatory term 'hoes' to say they have no life, which is a gender‑based demeaning statement targeting women.",False
5857,2,Neither,2,2,,,,2.0,"The tweet asks about adding more color TV stations and contains no hateful, insulting, or profane language.",False
16312,2,Neither,2,2,,,,2.0,"The tweet describes an Oreo as adorable, expressing positive sentiment with no hate, insults, or identity‑based attack.",False
2780,0,Hate speech,0,0,,,,1.0,"The tweet contains the racial slur 'nig' used toward the addressee, which constitutes abusive language without a clear identity‑based hate attack.",True
17611,1,Offensive language,1,1,,,,1.0,"The tweet uses the insult 'bitch' and profanity but does not clearly target a protected identity group such as race, religion, gender, etc.",True
15560,1,Offensive language,1,1,,,,1.0,"The tweet uses the insult 'big bitch' and profanity-laden self‑description, which is offensive language but does not target a protected identity group.",False
18551,1,Offensive language,1,1,,,,1.0,"The tweet contains a vulgar sexual reference (eat pussy) but does not target a protected identity group, so it is offensive language, not hate speech.",False
6986,0,Hate speech,1,1,,,,,,
